1, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647, -2.1210078183761647
0, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584, -1.4957800709341584
+, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426, -3.3099288806426426
*, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324, -2.4649031051182324
S, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294, -1.493671239237294
I, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595, -2.1024477510696595
C, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936, -2.834868855841936
B, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186, -2.047558200152186
