((B (+ 1)) (* 0)), nan, nan, nan, -5.749453980056047, -5.279551875912456
((B (+ 1)) (+ 1)), nan, nan, nan, -5.749453980056047, -4.468621659696128
((B (+ 1)) ((S *) I)), nan, nan, nan, -5.749453980056047, -4.874086767804292
((B (+ 1)) ((S *) ((S +) I))), nan, nan, nan, -5.343988871947882, -4.874086767804292
((B (+ 1)) ((S *) (+ 1))), nan, nan, nan, -5.749453980056047, -4.874086767804292
1, -3.111989366522424, -2.157292161201153, -1.9936949155301693, -2.1661202284300574, -2.1648300690525866
0, -3.8882427516079185, -2.175950321987589, -2.408207780123142, -2.1849454009551135, -2.183630740164657
+, -3.0928478641135486, -2.7551770907213924, -3.410213268448161, -4.39736468689452, -4.577675882758917
*, -1.035836689682574, -2.395433370655721, -2.904613933198307, -3.2227544111710027, -3.2750711827730905
S, -1.1834138101742848, -1.6778226536691254, -1.9846198068385714, -2.6379955164837057, -2.6371680761547047
((S +) ((S +) I)), nan, nan, -4.220422968586624, -4.140016067621946, -4.363261144038302
I, -1.835351312369549, -3.0358304761799415, -3.6171654738306778, -3.9945052630799114, -4.0438150778669
C, -3.6155101252772197, -3.732593252004228, -3.7325932520042286, -3.732593252004229, -3.7325932520042286
B, -3.169791379094291, -2.6948386808068197, -2.1721687503739586, -1.7103842371523572, -1.7090755504311712
((S *) ((S +) I)), nan, nan, -4.220422968586624, -4.245376583279773, -4.363261144038302
((B ((S +) I)) ((S +) ((S +) (+ 1)))), nan, nan, nan, -5.343988871947882, -5.972699056472401
((B ((S +) I)) (+ 1)), nan, nan, nan, -5.749453980056047, -4.719936087977033
((S *) ((S +) ((S +) (+ 1)))), nan, nan, nan, -5.343988871947882, -4.874086767804292
((S *) (+ 1)), nan, nan, -3.932740896134844, -3.957694510827992, -4.180939587244347
((S +) ((S +) ((S +) (+ 1)))), nan, nan, nan, -5.0563067994961015, -5.056408324598247
((S +) (+ 1)), nan, nan, -3.7095973448206343, -3.803543831000734, -4.1008968795708105
((B ((S +) I)) ((S +) I)), nan, nan, nan, -5.343988871947882, -5.279551875912456
((S +) ((S *) (+ 1))), nan, nan, nan, -5.343988871947882, -4.874086767804292
(* 0), nan, -3.4448948860006308, -4.62588807669479, -5.343988871947882, -5.567233948364238
((S +) ((S +) (+ 1))), nan, nan, -4.62588807669479, -3.803543831000734, -4.026788907417089
(+ 1), nan, -2.528604154126476, -2.921139984456364, -3.6093878165597757, -3.832632892976131
((B ((S +) I)) ((S +) ((S +) I))), nan, nan, nan, -5.749453980056047, -5.972699056472401
((S +) I), nan, -3.0394297778924666, -3.239593715574899, -3.957694510827992, -4.180939587244347
((S *) I), nan, nan, -4.62588807669479, -4.650841691387938, -4.874086767804292
((B ((S +) I)) ((S +) (+ 1))), nan, nan, nan, -5.343988871947882, -5.279551875912456
(S +), nan, -2.5975970256134278, -2.841508714764357, -3.0983337779915137, -3.343002169616707
(S *), nan, -2.8852790980652085, -2.841508714764357, -3.6579495659269363, -4.131459529980977
((B ((S +) I)) ((S *) (+ 1))), nan, nan, nan, -5.343988871947882, -5.056408324598247
(B ((S *) ((S +) I))), nan, nan, nan, -5.044243927046827, -5.047750261855133
(B ((S +) ((S +) I))), nan, nan, nan, -4.351096746486882, -3.794987293359765
(B ((S +) (+ 1))), nan, nan, nan, -4.756561854595046, -3.794987293359765
(B ((S *) (+ 1))), nan, nan, nan, -4.533418303280836, -4.48813447391971
(B ((S +) ((S +) (+ 1)))), nan, nan, nan, -4.063414674035101, -3.600831278918807
(B (+ 1)), nan, nan, -3.4292953796664767, -3.6579495659269363, -3.725994421872813
(B ((S *) I)), nan, nan, nan, -4.756561854595046, -4.642285153746968
(B ((S +) I)), nan, nan, -3.246973822872522, -2.964802385366991, -3.2151687981068227
