((+ 1) 1), nan, -2.789092743950738
(+ ((+ 1) 1)), nan, -3.8877050326188476
1, -2.0794415416798357, -2.38294341100901
0, -2.0794415416798357, -2.6340624324387547
+, -2.0794415416798357, -2.644691426999018
*, -2.0794415416798357, -3.2023070260815287
S, -2.0794415416798357, -2.254850505578712
I, -2.0794415416798357, -3.6739056560382704
C, -2.0794415416798357, -2.2721258855093374
B, -2.0794415416798357, -2.4177053153236336
((S +) (+ 1)), nan, -3.8877050326188476
(* 0), nan, -4.293170140727012
(+ 1), nan, -2.5884220484885865
((S +) I), nan, -3.600022960167067
((S *) I), nan, -3.8877050326188476
(S +), nan, -2.858085615437689
(S *), nan, -2.858085615437689
(S B), nan, -3.456922116526393
(B (+ 1)), nan, -4.110848583933057
