(nand True), nan, -2.2028433859423786, -2.2028433859423786
False, -3.4520371971403727, -4.045442670648651, -4.045442670648651
(BB (nand True)), nan, -2.2028433859423786, -2.2028433859423786
S, -2.9389384952463167, -3.5323439687545948, -3.5323439687545948
I, -2.3887642389984287, -2.982169712506707, -2.982169712506707
C, -3.2206185677038297, -3.814024041212108, -3.814024041212108
B, -3.626219210862425, -4.219624684370703, -4.219624684370703
True, -3.612435803385313, -2.189440589005764, -2.189440589005764
nand, -4.346726937411862, -2.59864350593619, -2.59864350593619
SB, -4.177427233603181, -4.77083270711146, -4.77083270711146
SC, -4.051053634344393, -4.644459107852671, -4.644459107852671
SS, -3.863234017730911, -4.456639491239189, -4.456639491239189
CS, -4.066243869866694, -4.659649343374973, -4.659649343374973
CB, -1.7438315035202407, -2.337236977028519, -2.337236977028519
CC, -2.485609081288559, -3.0790145547968373, -3.0790145547968373
BC, -1.5872555529986303, -2.1806610265069084, -2.1806610265069084
BB, -1.7659875517792534, -2.120794470150393, -2.120794470150393
BS, -4.369265238138031, -4.962670711646309, -4.962670711646309
((BB (nand True)) nand), nan, -3.301455674610488, -3.301455674610488
