(((CBC +) *) ((+ 1) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))))), nan, nan, nan, nan, nan, -5.493669538170183, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CBC +) (((CBC +) *) 0)) 1), nan, nan, -5.452832928157669, -5.183389115520851, -5.4658140092767695, nan, nan, nan, nan, nan
(((CCS *) I) *), nan, nan, -5.047367820049505, -5.40653266683506, -5.871279117384933, -6.47449879118191, -6.399958380696876, -7.171274289175969, -7.167273496557951, -7.171274289175969
(((CCS *) I) +), nan, nan, -4.7596857475977234, -5.001067558726897, -5.178131936824989, -5.375886502513799, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CCS *) ((CBC +) *)) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1))))))), nan, nan, nan, nan, nan, nan, nan, -5.466526196937544, -5.557835584123851, -5.466526196937544
(((CCS *) ((CBC +) *)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1))))), nan, nan, nan, nan, -5.311663329449511, -5.270525986855974, -5.388357469018396, -5.466526196937544, -5.462525404319526, -5.466526196937544
((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))))), nan, nan, nan, nan, nan, -6.678679141788363, -5.20043992672032, -6.119933048847974, -4.891302052081996, -6.119933048847974
((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))), nan, nan, nan, -4.7394966302788015, -4.884996013690744, -5.069241229354262, -5.139815304903886, -5.121404218736847, -5.124916903263501, -5.121404218736847
((+ 1) ((+ 1) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))))), nan, nan, nan, nan, nan, -5.985531961228418, -5.333971319344843, -6.274083728675232, -5.361305681327732, -6.274083728675232
((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1))))), nan, nan, nan, nan, -5.052050098353909, -4.781559156902482, -5.333971319344843, -4.846967373035087, -5.361305681327732, -4.807746659881805
((+ 1) ((+ 1) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1))))))), nan, nan, nan, nan, nan, nan, -6.363590736526001, -5.121404218736847, -6.683061521310051, -5.121404218736847
((+ 1) ((+ 1) ((+ 1) ((+ 1) ((+ 1) 1))))), nan, nan, nan, nan, -5.252720793816061, -5.292384780668472, -5.575133376161731, -5.667947925104917, -5.671460609631571, -5.667947925104917
((+ 1) ((+ 1) ((+ 1) 1))), nan, nan, -4.439378447829867, -3.845678754256704, -4.271891540804335, -4.481454564452143, -4.605732818973627, -4.631855993418141, -4.635368677944796, -4.631855993418141
((+ 1) 1), nan, -4.233011022529453, -3.523087715955712, -4.1035078635588045, -4.4054229334288575, -4.5191948924349905, -4.640824138784898, -4.664645816241132, -4.668158500767786, -4.664645816241132
(((CCS *) ((CBC +) *)) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))))), nan, nan, nan, nan, nan, -5.375886502513799, -5.388357469018396, -5.466526196937544, -5.462525404319526, -5.466526196937544
(((CCS *) ((CBC +) *)) ((+ 1) ((+ 1) ((+ 1) 1)))), nan, nan, nan, -5.40653266683506, -5.311663329449511, -5.493669538170183, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CCS *) ((CBC +) *)) ((+ 1) 1)), nan, nan, -5.452832928157669, -5.001067558726897, -5.311663329449511, -5.493669538170183, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CBC +) *) ((+ 1) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1))))))), nan, nan, nan, nan, nan, nan, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CBC +) *) ((+ 1) ((+ 1) ((+ 1) ((+ 1) 1))))), nan, nan, nan, nan, -5.4658140092767695, -5.375886502513799, -5.4836676488227205, -5.561836376741868, -5.557835584123851, -5.561836376741868
(((CBC +) *) ((+ 1) ((+ 1) 1))), nan, nan, -5.047367820049505, -4.713385486275116, -4.954988385510779, -5.088204430062019, -5.301346092028766, -5.3795148199479135, -5.3755140273298965, -5.3795148199479135
(((CBC +) *) 0), nan, -4.366542415153976, -4.536542196283515, -5.001067558726897, -5.311663329449511, -5.270525986855974, -5.388357469018396, -5.466526196937544, -5.462525404319526, -5.466526196937544
((CBC +) (((CBC +) *) 0)), nan, nan, -4.641902711941341, -4.409703072476893, -4.7020492615028715, nan, nan, nan, nan, nan
(+ ((+ 1) 1)), nan, nan, -4.044065711185721, -3.4606225177797474, -3.4245936804171313, -3.435486009269456, -3.509586622800711, -3.59187906790372, -3.6878101325934103, -3.7254104605282428
((CBC +) *), nan, -3.5398638419695083, -3.2556083508214506, -3.4934123406027378, -3.4492862930075034, -3.221911908971397, -3.1400745321012984, -3.1318098257607034, -3.152152533126238, -3.1318098257607034
((+ 1) ((+ ((+ 1) 1)) ((+ ((+ 1) 1)) ((+ 1) ((+ 1) ((+ 1) 1)))))), nan, nan, nan, nan, nan, -5.292384780668472, -4.714932110938619, -4.733638687728083, -4.737151372254738, -4.7700063318989585
