1, -3.784189633918261
0, -3.784189633918261
+, -3.784189633918261
*, -3.784189633918261
S, -3.784189633918261
I, -3.784189633918261
C, -3.784189633918261
B, -3.784189633918261
CSC, -3.784189633918261
CSB, -3.784189633918261
CSS, -3.784189633918261
CBB, -3.784189633918261
CBC, -3.784189633918261
CBS, -3.784189633918261
CCS, -3.784189633918261
CCC, -3.784189633918261
CCB, -3.784189633918261
SBS, -3.784189633918261
SBB, -3.784189633918261
SBC, -3.784189633918261
SCC, -3.784189633918261
SCB, -3.784189633918261
SCS, -3.784189633918261
BCB, -3.784189633918261
BCC, -3.784189633918261
BCS, -3.784189633918261
BBS, -3.784189633918261
BBC, -3.784189633918261
BBB, -3.784189633918261
SB, -3.784189633918261
SC, -3.784189633918261
SS, -3.784189633918261
SSS, -3.784189633918261
SSC, -3.784189633918261
SSB, -3.784189633918261
BSS, -3.784189633918261
BSB, -3.784189633918261
BSC, -3.784189633918261
CS, -3.784189633918261
CB, -3.784189633918261
CC, -3.784189633918261
BC, -3.784189633918261
BB, -3.784189633918261
BS, -3.784189633918261
