((S +) ((S *) ((B (+ 1)) (+ 1)))), nan, nan, nan, -6.02171825051672, -5.37854884804048, -5.3932115289614435, -5.387655027374186, -5.38764143885164, -5.387655027374186, -5.38764143885164, -5.387655027374186, -5.38764143885164, -5.387655027374186, -5.38764143885164, -5.387655027374186
((B (+ 1)) (* 0)), nan, nan, -5.3007657275196225, -5.73403617806494, -5.938164635975903, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B (+ 1)) (+ 1)), nan, nan, -4.048002759024254, -4.12459826563084, -4.380020017929353, -4.394682698850317, -4.389126197263059, -4.389112608740513, -4.389126197263059, -4.389112608740513, -4.389126197263059, -4.389112608740513, -4.389126197263059, -4.389112608740513, -4.389126197263059
((B ((S +) I)) ((S *) ((B (+ 1)) (+ 1)))), nan, nan, nan, -6.427183358624886, -5.938164635975903, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B (+ 1)) ((S *) ((S +) ((S +) I)))), nan, nan, nan, -6.427183358624886, -5.938164635975903, -5.5473622087887025, -5.541805707201444, -5.541792118678898, -5.541805707201444, -5.541792118678898, -5.541805707201444, -5.541792118678898, -5.541805707201444, -5.541792118678898, -5.541805707201444
((B (+ 1)) ((S *) I)), nan, nan, -4.384474995645468, -4.72243526638646, -5.127234419759573, -5.141897100680537, -5.13634059909328, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328
((B ((S +) I)) ((B (+ 1)) (+ 1))), nan, nan, nan, -6.02171825051672, -5.532699527867739, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B ((S +) I)) ((B (+ 1)) ((S *) I))), nan, nan, nan, -6.427183358624886, -5.715021084661693, -5.729683765582656, -5.947270815309609, -5.724113675472853, -5.947270815309609, -5.724113675472853, -5.947270815309609, -5.724113675472853, -5.947270815309609, -5.724113675472853, -5.947270815309609
((S *) ((B (+ 1)) (+ 1))), nan, nan, -5.3007657275196225, -4.72243526638646, -4.926563724297423, -5.03653658502271, -4.935669903631129, -5.030966494912907, -4.935669903631129, -5.030966494912907, -4.935669903631129, -5.030966494912907, -4.935669903631129, -5.030966494912907, -4.935669903631129
((B (+ 1)) ((S +) (+ 1))), nan, nan, nan, -6.427183358624886, -5.245017455415957, -5.259680136336921, -5.254123634749663, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328, -5.136327010570733, -5.13634059909328
(B ((B (+ 1)) (+ 1))), nan, nan, nan, -6.197608916980386, -3.834892464983548, -3.710866845719255, -3.7077438582827, -3.7111964777366393, -3.7077438582827, -3.7111964777366393, -3.7077438582827, -3.7111964777366393, -3.7077438582827, -3.7111964777366393, -3.7077438582827
((B ((B (+ 1)) ((S *) I))) ((S +) (+ 1))), nan, nan, nan, -6.427183358624886, -5.938164635975903, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B ((S +) ((S +) I))) ((S *) ((B (+ 1)) (+ 1)))), nan, nan, nan, -6.427183358624886, -6.225846708427683, -6.240509389348646, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139
(B ((B (+ 1)) ((S *) I))), nan, nan, -4.966563639432949, -4.40584944775233, -4.56577997352634, -4.611653391057445, -4.60853040362089, -4.6119830230748295, -4.6085304036208905, -4.6119830230748295, -4.6085304036208905, -4.6119830230748295, -4.6085304036208905, -4.6119830230748295, -4.6085304036208905
((B ((B (+ 1)) ((S *) I))) ((S +) ((S +) I))), nan, nan, nan, -6.02171825051672, -6.225846708427683, -6.240509389348646, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139
((B ((S *) ((S +) I))) ((B (+ 1)) (+ 1))), nan, nan, nan, -6.02171825051672, -5.938164635975903, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B ((S +) ((S +) I))) ((B (+ 1)) ((S *) I))), nan, nan, nan, -6.02171825051672, -5.245017455415957, -5.5473622087887025, -5.387655027374186, -5.541792118678898, -5.387655027374186, -5.541792118678898, -5.387655027374186, -5.541792118678898, -5.387655027374186, -5.541792118678898, -5.387655027374186
((B ((B (+ 1)) ((S *) I))) ((S +) I)), nan, nan, nan, -6.427183358624886, -5.938164635975903, -5.952827316896866, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609, -5.9472572267870625, -5.947270815309609
((B ((S *) I)) ((B (+ 1)) (+ 1))), nan, nan, nan, -6.02171825051672, -6.225846708427683, -6.240509389348646, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139, -6.234939299238843, -6.23495288776139
