((+ 1) 1), nan, nan, -2.9503223361313538
1, -2.7324980413408375, -2.077006055725147, -2.2060471283203813
0, -1.79918568745724, -2.371999206139368, -2.7138354659593174
+, -2.4955583758646767, -2.671545585554392, -3.319785239553574
*, -2.107610581055895, -2.8174486437983264, -3.5158180572610584
S, -1.1402984945387433, -1.4884067491950161, -2.0278066446318608
((S +) ((S +) I)), nan, nan, -4.109559246615899
I, -2.550124289113012, -3.413347094728467, -4.059025836829173
C, -2.3583674267164145, -2.5822805618211264, -2.5282089705393993
B, -2.6150866714632013, -2.838999806567913, -2.199856791820002
((S *) ((S +) I)), nan, nan, -4.39724131906768
((S *) (+ 1)), nan, nan, -3.8864156953016895
((S +) (+ 1)), nan, nan, -3.8864156953016895
((S +) ((S *) (+ 1))), nan, nan, -4.802706427175844
(* 0), nan, -3.5544793993256083, -4.802706427175844
((S +) ((S +) (+ 1))), nan, nan, -4.802706427175844
(+ 1), nan, -2.6381886674514536, -3.010946957947789
((S +) I), nan, -3.149014291217444, -3.29862903039957
((S *) I), nan, nan, -4.802706427175844
(S +), nan, -2.7071815389384053, -2.5885322915258513
(S *), nan, -2.994863611390186, -3.148148079461274
(B (+ 1)), nan, nan, -3.6181517087070096
(B ((S +) I)), nan, nan, -3.4358301519130547
