((S B) I), nan, -4.3714182175887455
((S B) (S *)), nan, -4.381570589052764
((+ 1) 1), nan, -2.782183012472164
(+ ((+ 1) 1)), nan, -3.718276371642499
1, -2.0794415416798357, -2.376803263738688
0, -2.0794415416798357, -2.628142081750708
+, -2.0794415416798357, -2.782311054266686
*, -2.0794415416798357, -3.321399023462644
S, -2.0794415416798357, -2.433966698945238
I, -2.0794415416798357, -3.67989125206606
C, -2.0794415416798357, -2.2721258855093374
B, -2.0794415416798357, -2.5930469772869977
((S +) (+ 1)), nan, -3.718276371642499
(* 0), nan, -4.411423552202445
(+ 1), nan, -2.706675459964019
((S +) I), nan, -3.3128112635343347
((S *) I), nan, -4.00595844409428
(S +), nan, -2.9952762279328726
(S *), nan, -2.9952762279328726
(S B), nan, -2.7413610179519092
(B (+ 1)), nan, -4.381570589052764
