(nand True), nan, -2.187593450464659, -2.187593450464659
False, -3.153660748417839, -3.731816286448398, -3.731816286448398
(BB (nand True)), nan, -2.187593450464659, -2.187593450464659
S, -3.6815238926427982, -4.259679430673357, -4.259679430673357
I, -2.3668420197927285, -2.9449975578232874, -2.9449975578232874
C, -4.715398684269274, -5.293554222299832, -5.293554222299832
B, -2.6914709513590225, -3.2696264893895814, -3.2696264893895814
True, -4.641329924528477, -2.182782610059082, -2.182782610059082
nand, -1.855536917642258, -2.482164332231285, -2.482164332231285
SB, -2.0600805658128367, -2.6382361038433957, -2.6382361038433957
SC, -2.1941491399087454, -2.7723046779393044, -2.7723046779393044
SS, -4.596661616303922, -5.17481715433448, -5.17481715433448
CS, -2.8170445567802602, -3.395200094810819, -3.395200094810819
CB, -4.825752945118954, -5.403908483149513, -5.403908483149513
CC, -1.952345727564314, -2.530501265594873, -2.530501265594873
BC, -3.1697261824917407, -3.7478817205222996, -3.7478817205222996
BB, -2.585237311034956, -2.150597233996354, -2.150597233996354
BS, -3.9387363180355415, -4.516891856066101, -4.516891856066101
((BB (nand True)) nand), nan, -3.2862057391327686, -3.2862057391327686
