((C B) ((S nand) I)), nan, nan, -3.8945376910871263, -3.8945376910871263, -3.8945376910871263
(B ((S nand) I)), nan, -2.031650877843487, -2.5082433299672355, -2.5082433299672355, -2.5082433299672355
(((C B) ((S nand) I)) (C (((C B) nand) (S nand)))), nan, nan, -3.4890725829789617, -3.4890725829789617, -3.4890725829789617
(((C B) nand) (B ((S nand) I))), nan, -2.724798058403432, -3.4890725829789617, -3.4890725829789617, -3.4890725829789617
((S nand) I), nan, -2.031650877843487, -1.920456665065117, -1.920456665065117, -1.920456665065117
S, -0.48427677961118665, -2.221369043595723, -2.3359502650813013, -2.3359502650813013, -2.3359502650813013
I, -2.2341516923531715, -3.454979283978267, -3.7591588855409, -3.7591588855409, -3.7591588855409
C, -3.0447086762722706, -3.0358359452364536, -2.934169289521814, -2.934169289521814, -2.934169289521814
B, -1.7917118949810558, -2.1198691066169104, -2.3375558832274703, -2.3375558832274703, -2.3375558832274703
(C (((C B) nand) (S nand))), nan, nan, -3.4890725829789617, -3.4890725829789617, -3.4890725829789617
(S nand), nan, -2.031650877843487, -1.8150961494072904, -1.8150961494072904, -1.8150961494072904
nand, -2.772754320440951, -1.989237039294293, -2.7069624628847295, -2.7069624628847295, -2.7069624628847295
(((C B) nand) (S nand)), nan, nan, -3.4890725829789617, -3.4890725829789617, -3.4890725829789617
(C B), nan, -2.9479416097176427, -2.5082433299672355, -2.5082433299672355, -2.5082433299672355
((C B) nand), nan, -3.1302631665115968, -3.019068953733226, -3.019068953733226, -3.019068953733226
