((B ((B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))) (+ 2))) (+ 2)), nan, nan, -5.526048687986894, -5.509915299701841, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
(B (((BCB +) *) 0)), -4.399774823446451, -4.199823051941656, -4.1186374034260815, -4.014887738445485, -3.951855932558137, -3.922552805314895, -3.922552805314895, -3.922552805314895, -3.922552805314895
(((((B SSS) BCB) *) I) I), -4.9105314839650696, -5.454584489456167, -5.093640927963752, -5.192557079503819, -5.1489019541645105, -5.11202611422568, -5.111710523855689, -5.111710523855689, -5.111710523855689, -5.111710523855689
(((((B SSS) BCB) *) I) +), -5.031159471753685, -5.107106638998353, -5.557946536094851, -5.65208940888226, -5.610719998823806, -5.575478479984194, -5.575162889614203, -5.575162889614203, -5.575162889614203, -5.575162889614203
(((((B SSS) BCB) *) I) *), -5.031159471753685, -4.596281015232362, -4.864799355534905, -5.65208940888226, -5.610719998823806, -5.575478479984194, -5.575162889614203, -5.575162889614203, -5.575162889614203, -5.575162889614203
((B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))) (+ 2)), -4.911319371169798, -4.427436399318785, -4.4113030110337315, -4.418878933665734, -4.418563343295744, -4.418563343295744, -4.418563343295744, -4.418563343295744
(B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))), -5.093640927963752, -5.192557079503819, -5.1489019541645105, -5.11202611422568, -5.111710523855689, -5.111710523855689, -5.111710523855689, -5.111710523855689
((((((B SSS) BCB) *) I) *) 2), -3.8119191952969596, -3.7813185354880945, -4.218172190609853, -4.427436399318785, -4.5936245678276855, -4.418878933665734, -4.6008849000896985, -4.418563343295744, -4.6008849000896985, -4.418563343295744
((B +) (+ 2)), -5.5125717471065165, nan, nan, nan, nan, nan, nan, nan, nan
((B *) (+ 2)), -5.5125717471065165, -5.557946536094851, -5.246624300774095, -5.205254890715642, -5.1700133718760295, -4.882015709054258, -4.882015709054258, -4.882015709054258, -4.882015709054258
(((B SSS) BCB) *), -3.8119191952969596, -3.6922389054344062, -3.9485086236607496, -3.806262718383929, -3.8051672074634157, -3.6153836959369245, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343
(((B SSS) BCB) +), -3.8119191952969596, -3.6922389054344062, -3.2553614431008047, -3.113115537823984, -3.112020026903471, -3.6153836959369245, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343
