((B (+ 1)) ((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) ((S +) ((S *) ((S +) (((S B) I) ((S +) (+ 1)))))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -7.933186777778203, -7.979100061967473
((B ((S +) (+ 1))) (((S B) I) ((S +) (+ 1)))), nan, nan, nan, -7.711555668758493, nan, nan, nan, nan, nan, nan
(B (((S B) (S *)) (+ 1))), nan, nan, nan, -6.842142313229376, -7.298697840911548, -7.830458385708034, nan, nan, nan, nan
((B (((S B) I) (((S B) I) (+ ((+ 1) 1))))) ((B (+ 1)) (* 0))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -8.338651885886367, -8.38456517007564
((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) ((S *) (((S B) (S +)) ((S +) (+ 1))))), nan, nan, nan, nan, nan, nan, -8.178578307460935, -7.889312503735852, -7.933186777778203, -7.979100061967473
((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) ((S +) ((S +) ((S *) (((S B) (S +)) ((S +) (+ 1))))))), nan, nan, nan, nan, nan, nan, -8.178578307460935, -7.378486879969861, -7.422361154012212, -7.468274438201482
((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) ((S *) ((B ((S +) (+ 1))) (+ 1)))), nan, nan, nan, nan, nan, nan, -8.178578307460935, -7.889312503735852, -7.645504705326422, -7.979100061967473
((B (+ ((+ 1) 1))) ((B (+ 1)) ((S +) (((S B) (S *)) ((B ((S +) (+ 1))) (+ 1)))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -7.933186777778203, -7.979100061967473
((B (((S B) I) (((S B) I) (+ ((+ 1) 1))))) ((B (+ 1)) ((S *) ((S +) (+ 1))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, nan, nan
((B (+ ((+ 1) 1))) ((B (+ 1)) ((S *) ((S +) (+ 1))))), nan, nan, nan, nan, nan, -8.003423526447534, -7.485431126900989, -7.378486879969861, -7.240039597218258, -7.285952881407527
((B (+ 1)) ((B (+ ((+ 1) 1))) (((S B) ((S B) (S *))) ((S +) (+ 1))))), nan, nan, nan, nan, -7.8708807013834, -7.310276345887588, -7.485431126900989, -7.378486879969861, -7.240039597218258, -7.285952881407527
((S +) ((B (+ 1)) ((B (+ ((+ 1) 1))) ((S *) ((S +) ((S +) (+ 1))))))), nan, nan, nan, nan, nan, -8.003423526447534, -7.262287575586781, -6.7907002150677425, -7.240039597218258, -7.468274438201482
((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) (((S B) (S *)) ((S +) ((S +) (+ 1))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -8.338651885886367, -8.38456517007564
((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) (((S B) (S *)) (+ 1))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -7.645504705326422, -7.691417989515693
((B (+ 1)) ((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) ((S +) ((S +) (((S B) (S *)) ((B (+ 1)) ((S +) ((S +) (+ 1))))))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -7.933186777778203, -7.979100061967473
((B (+ ((+ 1) 1))) ((B ((S *) I)) (+ ((+ 1) 1)))), nan, nan, nan, -7.711555668758493, -7.8708807013834, -8.003423526447534, -8.178578307460935, -7.601630431284071, -7.422361154012212, -7.691417989515693
(((S B) ((S B) (S *))) ((B (+ 1)) ((S +) (+ 1)))), nan, nan, nan, -7.711555668758493, -7.465415593275235, -8.003423526447534, -8.178578307460935, -8.294777611844015, -8.338651885886367, -8.38456517007564
((B (+ ((+ 1) 1))) ((B (+ ((+ 1) 1))) ((B (+ 1)) ((S *) ((S +) (+ 1)))))), nan, nan, nan, nan, nan, nan, -8.178578307460935, -8.294777611844015, -7.933186777778203, -7.979100061967473
((B (+ 1)) ((S *) ((S +) (+ 1)))), nan, nan, -6.3294521778146935, -5.6966526482162285, -5.924970552328087, -6.49934612967126, -6.792283946341046, -6.685339699409916, -6.952357524766477, -7.13180220158027
((B (+ 1)) ((S +) ((S *) ((S +) ((S +) (+ 1)))))), nan, nan, nan, nan, -7.8708807013834, -6.49934612967126, -6.925815338965567, -7.378486879969861, -7.422361154012212, -7.979100061967473
((B (+ 1)) ((S +) ((S +) ((S +) ((S *) ((S +) ((S +) (+ 1)))))))), nan, nan, nan, nan, nan, nan, -8.178578307460935, -6.7907002150677425, -6.729213973452267, -7.468274438201482
((B (+ 1)) ((S +) ((S +) ((S +) ((S +) ((S +) ((S *) ((S +) ((S +) (+ 1)))))))))), nan, nan, nan, nan, nan, nan, nan, nan, -8.338651885886367, -7.13180220158027
((B (+ ((+ 1) 1))) ((B (((S B) ((S B) I)) (+ ((+ 1) 1)))) (((S B) (S *)) (+ 1)))), nan, nan, nan, nan, nan, nan, nan, nan, nan, -8.38456517007564
((B ((S *) I)) (+ ((+ 1) 1))), nan, nan, -6.734917285922858, -6.0068075765200675, -6.48458634026351, -6.617129165327643, -6.792283946341046, -7.042014643348648, -7.085888917390999, -7.13180220158027
((B (+ ((+ 1) 1))) ((B (+ ((+ 1) 1))) ((B ((S *) I)) (+ ((+ 1) 1))))), nan, nan, nan, nan, nan, nan, nan, nan, -8.338651885886367, -7.979100061967473
((S +) ((S +) ((B ((S *) I)) (+ ((+ 1) 1))))), nan, nan, nan, nan, nan, -8.003423526447534, -8.178578307460935, -8.294777611844015, -8.338651885886367, nan
((B (+ 1)) ((S +) ((B ((S +) I)) ((S +) (((S B) (S *)) (+ ((+ 1) 1))))))), nan, nan, nan, nan, nan, -8.003423526447534, -7.485431126900989, -7.378486879969861, -7.422361154012212, -7.468274438201482
((S +) ((S +) ((B (+ 1)) ((S +) ((B ((S +) I)) ((S +) (((S B) (S *)) (+ ((+ 1) 1))))))))), nan, nan, nan, nan, nan, nan, nan, -8.294777611844015, -7.422361154012212, -7.691417989515693
((B (+ 1)) (* 0)), nan, nan, -6.3294521778146935, -6.207478271982219, -6.48458634026351, -6.750660557952165, -6.925815338965567, -7.042014643348648, -7.240039597218258, -7.13180220158027
