((+ 1) 1), nan, -3.6486504550334224
1, -2.6390573296152584, -2.4926931150343474
0, -2.6390573296152584, -3.1316061124060646
+, -2.6390573296152584, -2.4753577957046002
*, -2.6390573296152584, -2.9503183268777415
I, -2.6390573296152584, -3.6383073049113466
(* 0), nan, -3.4479797595712713
(+ 1), nan, -2.7548325790113264
SB, -2.6390573296152584, -3.0773122605464134
SC, -2.6390573296152584, -3.0773122605464134
SS, -2.6390573296152584, -3.0773122605464134
(BS +), nan, -2.8601930946691523
(BS *), nan, -2.8601930946691523
CS, -2.6390573296152584, -2.7187699442453392
CB, -2.6390573296152584, -3.0773122605464134
CC, -2.6390573296152584, -3.0773122605464134
BC, -2.6390573296152584, -3.0773122605464134
BB, -2.6390573296152584, -3.0773122605464134
BS, -2.6390573296152584, -2.448709577535145
