False, -3.8501476017100584
&, -3.8501476017100584
S, -3.8501476017100584
I, -3.8501476017100584
C, -3.8501476017100584
B, -3.8501476017100584
CSC, -3.8501476017100584
CSB, -3.8501476017100584
CSS, -3.8501476017100584
True, -3.8501476017100584
CBB, -3.8501476017100584
CBC, -3.8501476017100584
CBS, -3.8501476017100584
CCS, -3.8501476017100584
CCC, -3.8501476017100584
CCB, -3.8501476017100584
snd, -3.8501476017100584
not, -3.8501476017100584
fst, -3.8501476017100584
SBS, -3.8501476017100584
SBB, -3.8501476017100584
SBC, -3.8501476017100584
SCC, -3.8501476017100584
SCB, -3.8501476017100584
SCS, -3.8501476017100584
BCB, -3.8501476017100584
BCC, -3.8501476017100584
BCS, -3.8501476017100584
BBS, -3.8501476017100584
BBC, -3.8501476017100584
BBB, -3.8501476017100584
SB, -3.8501476017100584
SC, -3.8501476017100584
SS, -3.8501476017100584
SSS, -3.8501476017100584
SSC, -3.8501476017100584
SSB, -3.8501476017100584
BSS, -3.8501476017100584
BSB, -3.8501476017100584
BSC, -3.8501476017100584
CS, -3.8501476017100584
CB, -3.8501476017100584
CC, -3.8501476017100584
BC, -3.8501476017100584
BB, -3.8501476017100584
BS, -3.8501476017100584
pair, -3.8501476017100584
