((+ 1) 1), nan, -3.4988540926864893, -3.427742329567921, nan, nan, nan, nan, nan, nan, nan
1, -3.784189633918261, -2.7858820147145495, -2.716118584458582, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521
0, -3.784189633918261, -3.0670421756947057, -3.3911243999349185, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
+, -3.784189633918261, -3.1196658416220933, -4.214745188564137, -4.45023109816394, -4.45023109816394, -4.45023109816394, -4.45023109816394, -4.45023109816394, -4.45023109816394, -4.45023109816394
*, -3.784189633918261, -3.1196658416220933, -4.518969691551187, -4.8949126531596345, -4.8949126531596345, -4.8949126531596345, -4.8949126531596345, -4.8949126531596345, -4.8949126531596345, -4.8949126531596345
S, -3.784189633918261, -1.9859170737356933, -2.0321670138506196, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521, -2.047691583198521
((S +) ((S +) ((S +) ((S +) ((S +) ((S +) ((S +) ((S +) I)))))))), nan, nan, -5.391352055722636, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318
((S +) ((S +) ((S +) ((S +) ((S +) ((S +) I)))))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
((S +) ((S +) ((S +) ((S +) I)))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
((S +) ((S +) I)), nan, nan, -4.69820487516269, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
I, -3.784189633918261, -4.005446304097435, -4.900481138309301, -4.831227501422307, -4.831227501422307, -4.831227501422307, -4.831227501422307, -4.831227501422307, -4.831227501422307, -4.831227501422307
C, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
B, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CSC, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CSB, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CSS, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
((S +) ((S +) ((S +) ((S +) ((S +) ((S +) ((S +) (+ 1)))))))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
((S +) ((S +) ((S +) ((S +) ((S +) (+ 1)))))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
((S +) ((S +) ((S +) (+ 1)))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
((S +) (+ 1)), nan, nan, -4.985886947614471, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318
CBB, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CBC, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CBS, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CCS, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CCC, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
CCB, -3.784189633918261, -4.414009680526932, -4.414009680526931, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809, -4.424846631856809
(* 0), nan, -3.8665788728118065, nan, nan, nan, nan, nan, nan, nan, nan
((S +) ((S +) ((S +) ((S +) ((S +) ((S +) ((S +) ((S +) (+ 1))))))))), nan, nan, -5.391352055722636, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318, -5.20689930282318
((S +) ((S +) ((S +) ((S +) ((S +) ((S +) (+ 1))))))), nan, nan, -4.985886947614471, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399, -4.919217230371399
