((BS *) ((BS +) ((SB +) *))), nan, nan, nan, -5.409107743477873, -5.5074259765102855, -5.398525634147337, -5.5038861498051626, -5.398525634147337, -5.398525634147337, -5.5038861498051626
((SB +) ((BS +) ((BS *) *))), nan, nan, nan, -5.291324707821489, -5.4020654608524605, -5.398525634147337, -5.398525634147337, -5.398525634147337, -5.398525634147337, -5.398525634147337
((SB +) ((BS *) ((BS +) +))), nan, nan, nan, -5.185964192163663, -5.219743904058506, -5.303215454343011, -5.216204077353382, -5.303215454343011, -5.216204077353382, -5.303215454343011
((SB +) *), nan, -4.297250228059743, -4.524692220134166, -4.923599927696172, -5.139701196384969, -5.136161369679845, -5.136161369679845, -5.136161369679845, -5.136161369679845, -5.136161369679845
9, -3.0, -4.279875047310638, -4.236049220298308, -4.29561439001598, -4.380304107753181, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565
8, -3.0, -4.279875047310638, -4.236049220298308, -4.29561439001598, -4.380304107753181, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565
7, -3.0, -4.279875047310638, -4.236049220298308, -4.29561439001598, -4.380304107753181, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565
6, -3.0, -4.279875047310638, -4.236049220298308, -4.29561439001598, -4.380304107753181, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565, -4.3760457173013565
5, -3.0, -4.279875047310638, -4.166259818222513, -4.06450979969764, -4.030606263110981, -4.026253939038546, -4.026253939038546, -4.026253939038546, -4.026253939038546, -4.026253939038546
4, -3.0, -4.279875047310638, -4.166259818222513, -4.06450979969764, -4.098432898921846, -4.059599916755137, -4.059599916755137, -4.059599916755136, -4.059599916755137, -4.059599916755137
3, -3.0, -4.134769783805093, -4.311077055284894, -4.29561439001598, -4.134153221601853, -4.166878448059388, -4.166878448059388, -4.166878448059388, -4.166878448059388, -4.166878448059388
