(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
((B snd),7.645238273362133)
((B fst),7.645238273362133)
((B evalCase),7.645238273362133)
((B W),7.645238273362133)
((B S'),7.645238273362133)
((B S),7.645238273362133)
((B C),7.645238273362133)
((B B),7.645238273362133)
((B 3trd),7.645238273362133)
((B 3snd),7.645238273362133)
((B 3fst),7.645238273362133)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
((C snd),7.645238273362133)
((C fst),7.645238273362133)
((C evalCase),7.645238273362133)
((C W),7.645238273362133)
((C S'),7.645238273362133)
((C S),7.645238273362133)
((C C),7.645238273362133)
((C B),7.645238273362133)
((C 3trd),7.645238273362133)
((C 3snd),7.645238273362133)
((C 3fst),7.645238273362133)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
((S snd),7.645238273362133)
((S fst),7.645238273362133)
((S evalCase),7.645238273362133)
((S W),7.645238273362133)
((S S'),7.645238273362133)
((S S),7.645238273362133)
((S C),7.645238273362133)
((S B),7.645238273362133)
((S 3trd),7.645238273362133)
((S 3snd),7.645238273362133)
((S 3fst),7.645238273362133)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
((S' snd),7.645238273362133)
((S' fst),7.645238273362133)
((S' evalCase),7.645238273362133)
((S' W),7.645238273362133)
((S' S'),7.645238273362133)
((S' S),7.645238273362133)
((S' C),7.645238273362133)
((S' B),7.645238273362133)
((S' 3trd),7.645238273362133)
((S' 3snd),7.645238273362133)
((S' 3fst),7.645238273362133)
(B,3.3322045101752034)
((W B),7.645238273362133)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
(C,3.3322045101752034)
(S,3.3322045101752034)
(S',3.3322045101752034)
(W,3.3322045101752034)
(evalCase,3.3322045101752034)
(fst,3.3322045101752034)
(snd,3.3322045101752034)
(3fst,3.3322045101752034)
(3snd,3.3322045101752034)
(3trd,3.3322045101752034)
(B,3.3322045101752034)
