((+ 1) 1), nan, nan, -4.33684184488354, -4.317749167617515, -4.317749167617515, -4.317749167617515
((+ 1) 4), nan, nan, -4.33684184488354, -4.317749167617515, -4.317749167617515, -4.317749167617515
4, -3.0, -2.7629891361162766, -3.0292994830306323, -3.009973030296943, -3.009973030296943, -3.009973030296943
3, -3.0, -3.246950102584104, -3.8079348026228486, -3.788332916271402, -3.788332916271402, -3.788332916271402
2, -3.0, -3.246950102584104, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
1, -3.0, -3.246950102584104, -3.1746050583670575, -3.155242049755726, -3.155242049755726, -3.155242049755726
0, -3.0, -3.6198185369002305, -4.156959542512287, -4.137145044284956, -4.137145044284956, -4.137145044284956
+, -3.0, -2.2235714869899423, -2.4676907563235213, -2.5224177088227244, -2.5224177088227244, -2.5224177088227244
*, -3.0, -2.401141323521445, -2.745290512621663, -2.911580174500535, -2.911580174500535, -2.911580174500535
S, -3.0, -3.6584202466292277, -3.6584202466292277, -2.5776443126802318, -2.5776443126802318, -2.5776443126802318
I, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
C, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
B, -3.0, -3.6584202466292277, -1.921189130855989, -2.5776443126802318, -2.5776443126802318, -2.5776443126802318
(* 4), -2.3346861666348024, -3.4052836408785963, -3.4602989357662928, -3.4602989357662928, -3.4602989357662928
(+ 1), -2.3346861666348024, -2.42445438786687, -2.4794696827545666, -2.4794696827545666, -2.4794696827545666
(+ 4), nan, nan, -3.810748748986761, -3.4602989357662928, -3.4602989357662928, -3.4602989357662928
(S +), nan, nan, nan, -3.934756915361409, -3.934756915361409, -3.934756915361409
BCB, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
SB, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
SC, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
SS, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
SSS, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
CS, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
CB, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
CC, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
BC, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
BB, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
BS, -3.0, -3.6584202466292277, -3.6584202466292277, -3.6349511120883804, -3.6349511120883804, -3.6349511120883804
