((* 2) 2), nan, nan, -3.0703104686177713, -2.5817918996378513, -2.6216536962442865, -2.6216536962442865, -2.6216536962442865, -2.6216536962442865, -2.6216536962442865, -2.6216536962442865, -2.6216536962442865
(* ((* 2) 2)), nan, nan, nan, -2.869473972089632, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445
2, -3.0, -2.300515503029062, -2.5172887856143893, -2.538664230284225, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435
1, -3.0, -2.9612897338974244, -3.373446974919645, -3.3935623086884847, -3.4305198322452553, -3.4305198322452553, -3.4305198322452553, -3.4305198322452553, -3.4305198322452553, -3.4305198322452553, -3.4305198322452553
0, -3.0, -2.577289731504435, -3.000941495588986, -3.021737927202896, -3.0595963966188053, -3.0595963966188053, -3.0595963966188053, -3.0595963966188053, -3.0595963966188053, -3.0595963966188053, -3.0595963966188053
+, -3.0, -2.5772897315044343, -2.5415477134799644, -2.6393456104072843, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435, -2.577289731504435
*, -3.0, -1.9060785333161465, -2.0478002094066188, -1.9698161731687454, -1.906078533316147, -1.906078533316147, -1.906078533316147, -1.906078533316147, -1.906078533316147, -1.906078533316147, -1.906078533316147
I, -4.0, -4.412132359533523, -2.6511540179756867, -3.6329113932825394, -4.412132359533523, -4.412132359533523, -4.412132359533523, -4.412132359533523, -4.412132359533523, -4.412132359533523, -4.412132359533523
(* 0), -2.216188588136122, -2.702585688492454, -2.869473972089632, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445, -2.7758043760715445
(* 2), -2.216188588136122, -2.2971205803842896, -2.4640088639814675, -2.37033926796338, -2.37033926796338, -2.37033926796338, -2.37033926796338, -2.37033926796338, -2.37033926796338, -2.37033926796338
((I I) I), nan, nan, -4.278122049250873, nan, nan, nan, nan, nan, nan, nan, nan
(((I I) I) I), nan, nan, -4.278122049250873, nan, nan, nan, nan, nan, nan, nan, nan
SSS, -3.0, -3.4121323595335227, -3.4011559808316534, -3.4011559808316534, -3.4121323595335227, -3.4121323595335227, -3.4121323595335227, -3.4121323595335227, -3.4121323595335227, -3.4121323595335227, -3.4121323595335227
(I I), nan, nan, -4.278122049250873, nan, nan, nan, nan, nan, nan, nan, nan
