fst3, -3.044522437723423
False, -3.044522437723423
&, -3.044522437723423
I, -3.044522437723423
True, -3.044522437723423
snd, -3.044522437723423
not, -3.044522437723423
fst, -3.044522437723423
thrd3, -3.044522437723423
snd3, -3.044522437723423
SB, -3.044522437723423
SC, -3.044522437723423
SS, -3.044522437723423
CS, -3.044522437723423
CB, -3.044522437723423
CC, -3.044522437723423
BC, -3.044522437723423
BB, -3.044522437723423
BS, -3.044522437723423
pair, -3.044522437723423
triple, -3.044522437723423
