((BS nand) nand), nan, -4.019890880901533, -4.019890880901533
(nand True), nan, -2.0739807318462207, -2.0739807318462207
False, -4.001725145686556, -4.523426378938624, -4.523426378938624
(BB (nand True)), nan, -3.4602750929661106, -3.4602750929661106
S, -2.387508029329795, -3.487122135641129, -3.487122135641129
I, -2.5583951563696044, -3.080096389621673, -3.080096389621673
C, -3.093817455027801, -4.0950305373586975, -4.0950305373586975
B, -4.064495985957658, -4.586197219209726, -4.586197219209726
True, -3.8663401640107837, -2.064143377465622, -2.064143377465622
nand, -1.9814148823122846, -2.5256954289750215, -2.5256954289750215
SB, -4.0674390107808645, -4.589140244032933, -4.589140244032933
SC, -1.5545172049738203, -2.0762184382258893, -2.0762184382258893
SS, -4.099639371836734, -4.621340605088802, -4.621340605088802
CS, -3.2734268600626435, -3.7951280933147125, -3.7951280933147125
CB, -3.5879857129318484, -4.109686946183917, -4.109686946183917
CC, -1.5550386240430858, -2.0767398572951548, -2.0767398572951548
BC, -4.180416416738858, -4.702117649990926, -4.702117649990926
BB, -3.54602267931175, -3.6175444345322374, -3.6175444345322374
BS, -3.677521767065776, -2.960857323172715, -2.960857323172715
(BS nand), nan, -3.4602750929661106, -3.4602750929661106
(((S BS) C) ((BS nand) nand)), nan, -4.019890880901533, -4.019890880901533
(S BS), nan, -3.683418644280321, -3.683418644280321
((BB (nand True)) nand), nan, -4.019890880901533, -4.019890880901533
((S BS) C), nan, -4.27120530918244, -4.27120530918244
