,((B (B nand)) (((C B) nand) ((S B) (S nand)))), nan, nan, nan, nan,-7.73944037,-7.742192415,-7.749940714,-7.76321629,-7.765702253,-7.361534315,-7.765702253,-7.361534315,-7.765702253,-7.361534315,-7.765702253
,((B (B ((S B) (S nand)))) ((B ((C B) nand)) ((B B) (((C B) ((B (S nand)) nand)) (B ((S nand) I)))))), nan, nan, nan, nan,-7.73944037,-7.742192415,-7.749940714,-7.76321629,-7.765702253,-7.766999423,-7.765702253,-7.766999423,-7.765702253,-7.766999423,-7.765702253
,((B (S ((B ((B C) (B nand))) nand))) (C ((B (S nand)) nand))), nan, nan, nan,-7.525624157,-7.73944037,-7.742192415,-7.749940714,-7.76321629,-7.765702253,-7.766999423,-7.765702253,-7.766999423,-7.765702253,-7.766999423,-7.765702253
,((B (B ((S B) (S nand)))) ((B C) ((B (S ((B ((B C) (B nand))) nand))) nand))), nan, nan, nan, nan,-7.73944037,-7.336727307,-7.344475606,-7.357751181,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B ((B (S ((B ((B C) (B nand))) nand))) nand)) ((S nand) ((S nand) I))), nan, nan, nan,-7.525624157,-7.333975262,-7.336727307,-7.344475606,-7.357751181,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B (B nand)) ((B (C ((B (S nand)) nand))) ((S nand) I))), nan, nan, nan, nan, nan, nan, nan,-7.76321629,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B (B ((S B) (S nand)))) (C ((B C) ((B (B ((S B) (S nand)))) ((B ((C B) nand)) ((B B) (((C B) (C ((B (S nand)) nand))) (B ((S nand) I))))))))), nan, nan, nan, nan, nan, nan, nan,-7.76321629,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B (B nand)) (((B C) (B nand)) ((S nand) ((S nand) I)))), nan, nan,-6.755394795,-6.832476976,-7.333975262,-7.336727307,-7.344475606,-7.357751181,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B (B (C ((B (S nand)) nand)))) (((C B) (C ((B (S nand)) nand))) (B ((S nand) I)))), nan, nan, nan,-7.120159048,-7.333975262,-7.336727307,-7.344475606,-7.357751181,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,((B (B (C ((B (S nand)) nand)))) (((C B) nand) ((S B) (S nand)))), nan, nan, nan,-6.139329795,-6.034692278,-6.132754503,-5.878138537,-7.070069109,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145,-7.361534315,-7.360237145
,(((C B) ((S ((B B) nand)) nand)) (B ((S nand) I))), nan, nan,-7.052646319,-6.857794784,-6.376277341,-6.874740989,-7.267300147,-7.260926997,-7.259398114,-7.256676438,-7.259398114,-7.256676438,-7.259398114,-7.256676438,-7.259398114
,((S ((B ((B C) (B nand))) nand)) ((S nand) I)), nan, nan,-5.666351958,-5.759182495,-6.887102965,-6.874740989,-7.267300147,-7.260926997,-7.259398114,-7.256676438,-7.259398114,-7.256676438,-7.259398114,-7.256676438,-7.259398114
,(((B C) (B nand)) ((S nand) ((S nand) I))), nan, nan,-6.647181211,-6.34696916,-6.376277341,-6.363915365,-6.574152966,-6.855461889,-6.853933006,-7.256676438,-7.259398114,-7.256676438,-7.259398114,-7.256676438,-7.259398114
