(B ((B ((S +) (+ 1))) ((S +) (+ 1)))), nan, nan, nan, -5.918867977799046, -6.686210446599907, -6.6743932895747875, -6.668460261720733, -6.664476920663844, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139, -6.660483996701707, -6.662481359627139
((B ((S +) ((S +) (+ 1)))) ((S *) ((S +) (+ 1)))), nan, nan, nan, -7.037893389356204, -6.1416179603631, -6.306931979349558, -6.305231654205495, -6.300073299353454, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954, -6.298354754757193, -6.298350115011954
((B ((S *) I)) (+ ((+ 1) 1))), nan, nan, -6.041281637106263, -5.166091212454613, -5.987467280535841, -5.836928350103823, -5.83522802495976, -5.830069670107719, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219, -5.828351125511459, -5.828346485766219
((B ((S +) ((S +) (+ 1)))) ((S +) ((S +) (+ 1)))), nan, nan, nan, -7.037893389356204, -6.1416179603631, -5.9704597427283455, -5.968759417584282, -5.963601062732241, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074, -5.9618825181359805, -5.96187787839074
(B ((S +) (+ ((+ 1) 1)))), nan, nan, -5.485383325570974, -5.043399240445146, -4.894450977371853, -4.828566599076457, -4.876700792492678, -4.767356935777963, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881, -4.763364011815827, -4.81665466912881
(B ((S *) (+ ((+ 1) 1)))), nan, nan, -5.197701253119193, -5.448864348553311, -5.705381193588182, -5.693564036563061, -5.687631008709007, -5.683647667652119, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414, -5.679654743689982, -5.681652106615414
((B (+ 1)) ((B ((S +) I)) ((S +) (+ 1)))), nan, nan, nan, -7.037893389356204, -7.240230249031209, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B (+ 1)) ((B ((S +) (+ 1))) (+ ((+ 1) 1)))), nan, nan, nan, -7.037893389356204, -7.240230249031209, -7.2232227112237135, -7.22152238607965, -7.216364031227609, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108, -7.2146454866313485, -7.214640846886108
((+ ((+ 1) 1)) ((+ 1) 1)), nan, nan, -4.0860168828837296, -4.00362745179997, -3.8151816515468737, -3.7800611304625265, -3.743706957625322, -3.780075329754184, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152, -3.7800824111253926, -3.780077771380152
((S B) I), nan, nan, -6.106169259312138, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
(B (+ ((+ 1) 1))), nan, nan, -4.792236145011029, -5.130410617434776, -4.000633101349757, -4.084126124128962, -4.078193096274906, -4.074209755218018, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941, -4.070216831255881, -4.047521581590941
((S B) (S *)), nan, nan, -4.974557701804984, -5.736546421005091, -7.091675554708072, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
((S B) (S +)), nan, nan, -5.197701253119193, -5.736546421005091, -6.3985283741481265, -6.386711217123007, -6.380778189268952, -6.3767948482120635, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359, -6.372801924249926, -6.374799287175359
