9, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
8, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
7, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
6, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
5, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
4, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
3, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
2, -3.0, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406, -3.6188348855599406
1, -3.0, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243, -3.3707050526357243
0, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
+, -3.0, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491, -2.09024611193491
*, -3.0, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247, -2.268240216394247
10, -3.0, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163, -3.7378990024366163
(+ 1), nan, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014, -1.5060330107488014
