((B (S nand)) ((B nand) ((S nand) ((S nand) I)))), nan, nan, -4.2245598703917695, -4.495378721386558, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B C) ((B (B nand)) nand)), nan, -3.223131882385625, -3.4214117946174953, -3.625854340904177, -3.870674555540016, -3.859446814357851, -3.8594468143578515, -3.859446814357851, -3.8594468143578515, -3.859446814357851, -3.8594468143578515, -3.859446814357851, -3.8594468143578515, -3.859446814357851, -3.8594468143578515
(C ((B (S nand)) nand)), nan, nan, -5.323172159059879, -6.16935515495823, -6.656446543345663, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356, -6.6590121242958356
(C ((S ((B C) ((B (B nand)) nand))) ((S nand) I))), nan, nan, nan, -3.802231540826613, -3.915606519420463, -3.7968112433663666, -3.950961923193625, -3.7968112433663666, -3.950961923193625, -3.7968112433663666, -3.950961923193625, -3.7968112433663666, -3.950961923193625, -3.7968112433663666, -3.950961923193625
((B ((S ((B C) ((B (B nand)) nand))) ((S nand) ((S nand) I)))) ((S nand) I)), nan, nan, nan, -5.658529531192239, -5.403683574850295, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675
(S ((B C) ((B (B nand)) nand))), nan, nan, -3.6114553975053605, -3.608462598192308, -3.6992522892040975, -3.3894431851121163, -3.3894431851121167, -3.3894431851121163, -3.3894431851121167, -3.3894431851121163, -3.3894431851121167, -3.3894431851121163, -3.3894431851121167, -3.3894431851121163, -3.3894431851121167
(B ((S nand) I)), nan, nan, -3.444401312842194, -3.228972976487404, -3.2437767605212713, -3.2463423414714425, -3.246342341471443, -3.2463423414714425, -3.246342341471443, -3.2463423414714425, -3.246342341471443, -3.2463423414714425, -3.246342341471443, -3.2463423414714425, -3.246342341471443
((B nand) ((S nand) I)), nan, nan, nan, -5.881673082506448, -5.963299362785718, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804, -5.7427213924216804
(B ((B C) ((B (B nand)) nand))), nan, nan, nan, -4.160531180492348, -4.3031683360361, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271, -4.305733916986271
(C ((B C) ((B (B nand)) nand))), nan, nan, -4.807706155737386, -5.12993173768045, -5.3747519523162905, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126, -5.363524211134126
((B (B nand)) ((S ((B C) ((B (B nand)) nand))) ((S nand) ((S nand) I)))), nan, nan, nan, nan, -5.3747519523162905, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615
((B (B nand)) (C ((B nand) ((S nand) ((S nand) I))))), nan, nan, nan, -4.724466629572286, -4.681604771756345, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181, -4.670377030574181
((B (B nand)) ((B ((S ((B C) ((B (B nand)) nand))) ((S nand) ((S nand) I)))) ((B ((S nand) I)) ((S nand) ((S nand) I))))), nan, nan, nan, nan, -3.5029497754146988, -3.491722034232534, -3.4917220342325344, -3.491722034232534, -3.4917220342325344, -3.491722034232534, -3.4917220342325344, -3.491722034232534, -3.4917220342325344, -3.491722034232534, -3.4917220342325344
(C ((B ((S ((B C) ((B (B nand)) nand))) ((S nand) ((S nand) I)))) ((S nand) I))), nan, nan, nan, nan, -4.7846443664440725, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244, -4.787209947394244
((B (S nand)) nand), nan, -2.814088952929577, -4.367660714032442, -5.1885259019465035, -5.2701521822257735, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675, -5.4062491558004675
((S ((B C) ((B (B nand)) nand))) ((S nand) I)), nan, nan, -3.3216921588497548, -3.5790879895124035, -3.660714269791673, -3.663279850741844, -3.6632798507418443, -3.663279850741844, -3.6632798507418443, -3.663279850741844, -3.6632798507418443, -3.663279850741844, -3.6632798507418443, -3.663279850741844, -3.6632798507418443
((B (B nand)) nand), nan, -3.223131882385625, -3.709093867069276, -4.213641005806296, -4.681604771756345, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615, -4.9580591030259615
((S nand) I), nan, -3.2852043110280027, -3.4249292094293735, -3.3561583648221784, -3.3816005470611015, -3.39469254099826, -3.3946925409982605, -3.39469254099826, -3.3946925409982605, -3.39469254099826, -3.3946925409982605, -3.39469254099826, -3.3946925409982605, -3.39469254099826, -3.3946925409982605
