((BS nand) nand), nan, -3.9930472824868453, -3.9930472824868453
(((SB S) C) ((BS nand) nand)), nan, -3.9930472824868453, -3.9930472824868453
(nand True), nan, -2.0471371334315327, -2.0471371334315327
False, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
(BB (nand True)), nan, -3.656575045865633, -3.656575045865633
S, -2.772588722239781, -3.516209421009117, -3.516209421009117
I, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
C, -2.772588722239781, -4.00436104238712, -4.00436104238712
B, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
True, -2.772588722239781, -2.017443496699121, -2.017443496699121
nand, -2.772588722239781, -2.5553537298089304, -2.5553537298089304
((SB S) C), nan, -4.244361710767752, -4.244361710767752
(SB S), nan, -3.4334314945514226, -3.4334314945514226
SB, -2.772588722239781, -3.319606900481467, -3.319606900481467
SC, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
SS, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
CS, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
CB, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
CC, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
BC, -2.772588722239781, -3.2464909919011737, -3.2464909919011737
BB, -2.772588722239781, -3.319606900481467, -3.319606900481467
BS, -2.772588722239781, -3.319606900481467, -3.319606900481467
(BS nand), nan, -3.656575045865633, -3.656575045865633
((BB (nand True)) nand), nan, -3.9930472824868453, -3.9930472824868453
