1, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085, -3.1285052889144085
0, -1.9977189052145619, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562, -1.997718905214562
+, -1.6368266992175036, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038, -1.6368266992175038
*, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303, -2.1000559332251303
S, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124, -2.623972498711124
I, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806, -2.436261667831806
C, -1.5644517306262715, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717, -1.5644517306262717
B, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912, -2.007514645074912
