((B ((S +) I)) ((B (+ 1)) ((S *) ((S +) I)))), nan, nan, nan, nan, nan, nan, nan, -6.363220061575073, -5.718283943883676, -5.59683091154639, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193
((B (+ 1)) ((S +) ((S *) (+ 1)))), nan, nan, nan, -6.024620908874531, -5.055597827613633, -4.90702995203268, -4.8269682086694035, -4.976925700455182, -5.02513676332373, -5.126827282300654, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457, -5.168411910530457
((S +) ((B ((S +) I)) ((B (+ 1)) ((S +) ((S *) (+ 1)))))), nan, nan, nan, nan, nan, nan, nan, nan, -6.411431124443621, -5.414509354752436, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238, -5.456093982982238
((B (+ 1)) ((S *) ((S +) ((S +) I)))), nan, nan, nan, -6.024620908874531, -4.901447147786374, -4.90702995203268, -4.70918517301302, -4.8591426647987985, -4.9073537276673465, -5.009044246644271, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073, -5.050628874874073
((S B) (S *)), nan, nan, nan, -5.741149368959094, -5.924097895651439, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B ((S +) I)) ((B (+ 1)) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, nan, nan, -6.213262569789294, -5.670072881015128, -5.495140392569465, -5.59683091154639, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193
((S +) ((S +) ((B ((S +) I)) ((B (+ 1)) ((S +) ((S *) (+ 1))))))), nan, nan, nan, nan, nan, nan, nan, nan, nan, -6.513121643420545, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183, -6.149241163542183
((B (+ 1)) ((S *) ((S +) I))), nan, nan, nan, -6.024620908874531, -5.055597827613633, -5.061180631859939, -5.114650281121184, -5.110457093079705, -5.158668155948253, -5.260358674925177, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498
((S +) ((B (+ 1)) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, nan, nan, -6.213262569789294, -5.110457093079705, -5.158668155948253, -5.260358674925177, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498, -5.30194330315498
((B ((S +) I)) ((B (+ 1)) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, nan, nan, -6.213262569789294, -6.363220061575073, -6.411431124443621, -6.513121643420545, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348, -6.554706271650348
((S +) ((B ((S +) I)) ((B (+ 1)) ((S *) ((S +) I))))), nan, nan, nan, nan, nan, nan, nan, nan, nan, -6.513121643420545, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193, -5.638415539776193
((+ 1) 1), nan, nan, -3.0464831335065123, -2.4283629446409916, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1, -2.5599818207023914, -2.131586736617226, -2.2927531505162593, -2.532995928197827, -2.0143461385239574, -2.1148150362756395, -2.114523379149838, -2.114098872873295, -2.1139562389742053, -2.1137369622046465, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205, -2.1135780111643205
