(((BS +) +) 1), nan, nan, -5.2059781240553695, -4.268894121572139, -4.342286356693841
((BS +) (B (((BS +) +) 1))), nan, nan, nan, nan, -5.586782805953473
(B (((CBC +) *) 0)), nan, nan, -4.639582649134568, -4.720112863875208, -5.602286992489439
(((BS *) (((SSC S) S) +)) I), nan, nan, -5.2059781240553695, -4.887933329978363, -5.505437166499521
((BS *) (((SSC S) S) +)), nan, nan, -4.853156749432627, -4.910156466763073, -5.404461249159519
((BS +) ((BS +) ((BS *) (((SSC S) S) +)))), nan, nan, nan, nan, -6.097608429719464
((SSC S) S), nan, -4.707801670110602, -4.950795218996544, -5.746404490963691, -5.870550979084119
((((CBC +) *) 0) (((((SSC S) S) +) I) 1)), nan, nan, nan, -6.140696298473731, -6.016262790265512
(B (((BS +) +) 1)), nan, nan, nan, -5.757454327150276, -5.116779176707738
(((CBC +) *) 0), nan, -4.821130355417605, -4.408470928171182, -5.034025948475859, -5.339922728021947
((B ((S *) I)) (((BS +) +) 1)), nan, nan, nan, -6.140696298473731, -5.323115609705567
(B (((BS *) (((SSC S) S) +)) I)), nan, nan, nan, -6.162919435258441, nan
((BS +) ((BS *) (((SSC S) S) +))), nan, nan, nan, -6.162919435258441, -6.097608429719464
(((SSC S) S) +), nan, -4.261514567482182, -4.005858889045424, -4.7766250741385505, -5.404461249159519
(((((SSC S) S) +) I) 1), nan, nan, -4.3359002353363465, -3.210204546788141, -3.132647814832227
((CBC +) *), nan, -3.8868211180407717, -4.639582649134568, -5.4132600444351535, -5.602286992489439
((CBC +) +), nan, nan, -4.639582649134568, nan, nan
1, -3.0, -2.9255973042521557, -2.6633810637615287, -3.1267682848928295, -3.249908768895999
0, -3.0, -2.7943740195487026, -3.8812850725464463, -4.297829630215233, -4.165416889092981
((BS +) ((BS +) +)), nan, nan, nan, -6.286788916971227, -6.592685696517315
+, -3.0, -2.7264600909492724, -3.283134023570307, -4.203404090237145, -4.615575858330058
*, -3.0, -3.4046069882251873, -4.06163253746832, -4.892623474184514, -5.152414524619331
S, -3.0, -3.1796586157976416, -3.7057500920975803, -4.076873883672676, -4.193340733813895
((((SSC S) S) +) ((((SSC S) S) +) I)), nan, nan, -5.2059781240553695, -5.447549117913786, -5.505437166499521
I, -3.0, -3.942135985831523, -4.7338127724646, -5.2179966376793505, -5.432730855810265
C, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
B, -3.0, -4.616051673432908, -4.756250180679562, -3.872056105911612, -3.9178669754894226
CSC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
CSB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
CSS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
(((B (((CBC +) *) 0)) ((((SSC S) S) +) I)) 1), nan, nan, -5.2059781240553695, -6.140696298473731, -6.016262790265512
CBB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
CBC, -3.0, -3.4046069882251873, -3.357987633030409, -3.0179195166945925, -3.0169234159044946
CBS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
CCS, -3.0, -3.4046069882251873, -4.616051673432907, -4.616051673432908, -4.616051673432908
CCC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
CCB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
(B ((((SSC S) S) +) I)), nan, nan, nan, -6.162919435258441, -5.404461249159519
(+ 1), nan, nan, -5.2059781240553695, -3.9434717211375117, -4.1191428053796315
((BS +) (B (+ 1))), nan, nan, nan, nan, -5.404461249159519
((B (((CBC +) *) 0)) ((((SSC S) S) +) I)), nan, nan, -5.507083216839291, -5.881323808863062, -6.592685696517315
((S *) I), nan, nan, -5.2059781240553695, -5.04208400980562, -5.035433537253787
((BS +) ((BS *) (S +))), nan, nan, nan, nan, -6.097608429719464
((BS +) (B ((S *) I))), nan, nan, nan, nan, -6.503073537827629
SBS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SBB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SBC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
(S +), nan, nan, -5.258621857540792, -4.7766250741385505, -5.250310569332261
((BS +) ((BS +) (S *))), nan, nan, nan, nan, -6.503073537827629
(S *), nan, nan, -5.258621857540792, -4.658842038482167, -4.798325445589204
SCC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SCB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SCS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BCB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BCC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BCS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BBS, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BBC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
BBB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SB, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
SC, -3.0, -4.616051673432908, -4.616051673432907, -4.616051673432908, -4.616051673432908
