((CB (((SB S) S) +)) (+ 1)), nan, nan, -5.079922993700628, -4.56261101877369, -4.608785155748859, nan, nan, nan, nan, nan
((B (S +)) (S +)), nan, nan, nan, nan, -5.525075887623014, -4.8659043314885855, -5.67617564040103, -5.692880810397722, -5.6923377076770745, -5.268497273631991
((B (B (+ 1))) (B (+ 1))), nan, nan, nan, nan, nan, nan, -5.67617564040103, -4.999733629837777, -4.999190527117129, -4.980815201180211
((SSC S) S), -4.311403160484643, -4.696327195702913, -4.932286994894564, -5.795571359972878, -5.784587083108099, -5.753207526489488, -5.754956518254144, -5.79985292994989, -5.7993098272292425, -5.7062232439583775
((B (B (+ 1))) ((B (B (+ 1))) ((B (S +)) (B (+ 1))))), nan, nan, nan, nan, nan, nan, -5.67617564040103, -5.692880810397722, -5.28687259956891, -4.980815201180211
((B (S +)) (B (+ 1))), nan, nan, nan, nan, -5.525075887623014, -5.153586403940366, -4.983028459841084, -4.999733629837777, -4.999190527117129, -4.980815201180211
(SB (((SSC S) S) +)), -4.185501571936922, nan, nan, nan, nan, nan, nan, nan, nan
(((SSC S) S) +), -3.1482523506789617, -3.251192334560089, -3.8271600252052607, -4.380289461979735, -4.138781526503124, -4.17275715092864, -4.423412671905662, -4.440117841902354, -4.439574739181706, -4.575350093072046
((B (S +)) ((CB (S +)) (+ 1))), nan, nan, nan, nan, nan, nan, -5.67617564040103, nan, nan, nan
(((((SSC S) S) +) I) 1), -3.18405303172246, -2.7575352734104026, -2.751048922249455, -2.775782727986755, -2.8146336667754457, -2.7890772078498345, -2.834257750816137, -2.8337146480954893, -2.831599843030352
1, -3.0, -2.222928863466386, -2.717217178829474, -3.139838774162928, -3.1335004612014052, -3.0725974797879467, -3.017314041452025, -3.1229821406254827, -3.0641178878813333, -3.0635863098788443, -3.061516322953799
0, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
+, -3.0, -2.388349359061501, -2.6820164581386146, -3.317591695827284, -3.841594523752002, -3.776105287602215, -3.7913668233955145, -4.025864544196489, -4.125491147082851, -4.139993178470552, -4.1527726517430095
S, -3.0, -2.9071241495057967, -3.2837146405484896, -3.5122031658075725, -3.7381292991646187, -3.793653655333383, -3.7636350520967063, -3.765309259364861, -3.8082424998573927, -3.807723652193241, -3.789584771260831
((((SSC S) S) +) ((((SSC S) S) +) I)), -4.765320067189864, -5.2424419231984025, -5.459099123351665, -4.868296351233944, -4.82953668731771, -4.8611386422320475, -4.897950935527835, -4.897407832807187, -4.895293027742048
I, -3.0, -3.834516443680025, -4.159344488395067, -4.594504843793584, -4.761983739513232, -5.254682642727649, -5.243574866001497, -5.404934369675683, -5.309599582873517, -5.309165335998943, -5.276499977996941
C, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
B, -3.0, -4.631754575021037, -4.631754575021037, -3.913459206187089, -3.696113140550478, -3.7373320262785894, -3.7765386223643973, -3.7763982292349683, -3.821984030116124, -3.821465518058254, -3.726775244261709
((B (B (+ 1))) ((B (B (+ 1))) ((B (B (+ 1))) ((B (S +)) (B (+ 1)))))), nan, nan, nan, nan, nan, nan, nan, nan, nan, -5.673962381740156
((B (B (+ 1))) ((B (S +)) (B (+ 1)))), nan, nan, nan, nan, nan, -5.153586403940366, -5.270710532292865, -4.999733629837777, -4.999190527117129, -4.980815201180211
(B (((SB S) S) +)), nan, nan, nan, -4.1620358959597175, nan, nan, nan, nan, nan, nan
CSC, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CSB, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CSS, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
((S +) (+ 1)), nan, nan, nan, -5.459099123351665, -3.952005619359789, -3.9132459554435557, -3.849537730553568, -3.7192959391861877, -3.575651992824868, -3.57353718775973
CBB, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CBC, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CBS, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CCS, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
CCC, -3.0, -4.631754575021037, -4.631754575021037, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900226, -4.614071358900227, -4.614071358900227, -4.614071358900226
