(B ((S nand) I)), nan, -2.1381952050619835, -2.1381952050619835, -2.1381952050619835, -2.1381952050619835
((S nand) I), nan, -1.8505131326102022, -1.8505131326102022, -1.8505131326102022, -1.8505131326102022
(B (B ((S nand) I))), nan, -2.5436603131701476, -2.5436603131701476, -2.5436603131701476, -2.5436603131701476
S, -0.8810241205136125, -2.164320892479279, -2.164320892479279, -2.164320892479279, -2.164320892479279
I, -1.0431235212413412, -2.8643905299971504, -2.8643905299971504, -2.8643905299971504, -2.8643905299971504
C, -3.0395925721204833, -3.1733092739760864, -3.1733092739760864, -3.1733092739760864, -3.1733092739760864
B, -2.2072073145766433, -1.7910774782657586, -1.7910774782657586, -1.7910774782657586, -1.7910774782657586
((B (B ((S nand) I))) nand), nan, -3.0544859369361386, -3.0544859369361386, -3.0544859369361386, -3.0544859369361386
(S nand), nan, -2.1381952050619835, -2.1381952050619835, -2.1381952050619835, -2.1381952050619835
nand, -2.584583898445902, -2.2936988745442934, -2.2936988745442934, -2.2936988745442934, -2.2936988745442934
