1, -2.1467065662575053, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026, -2.659398662175026
0, -1.2981399530563547, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552, -1.1526702968140552
+, -2.365828175358221, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373, -1.1872390333078373
*, -1.8709635308269164, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437, -2.383655626744437
S, -3.408984238041021, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414, -3.9216763339585414
I, -1.3334073806626172, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377, -1.8460994765801377
C, -3.555387203984754, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275, -4.068079299902275
B, -3.2962179936960294, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355, -3.80891008961355
