((B ((S +) (+ 1))) ((B ((S +) ((S +) I))) (+ 1))), nan, nan, nan, -7.4280346294342054, -6.84523009705636
((B (+ 1)) ((S *) ((S +) (+ 1)))), nan, nan, -6.20303128133875, -4.985687594065001, -5.1870020204528275
((B ((S *) I)) (+ ((+ 1) 1))), nan, nan, -6.608496389446915, -5.72328653719578, -6.034299880840032
((B (+ 1)) (* 0)), nan, nan, -6.20303128133875, -5.923957232657932, -6.152082916496416
(B ((S +) (+ ((+ 1) 1)))), nan, nan, -6.424908208037768, -5.593703383962108, -6.269401721143114
(B ((S *) (+ ((+ 1) 1)))), nan, nan, -5.731761027477822, -6.509994115836263, -6.96254890170306
((B ((S +) (+ 1))) ((B (+ 1)) (+ ((+ 1) 1)))), nan, nan, nan, -7.4280346294342054, nan
((B (+ 1)) ((S *) ((S +) ((S +) I)))), nan, nan, -6.608496389446915, -5.556232452532614, -6.034299880840032
((B (+ 1)) ((S *) I)), nan, nan, -5.355733420951547, -4.90230598512595, -5.1870020204528275
((S *) (((S B) I) (+ ((+ 1) 1)))), nan, nan, -6.608496389446915, -5.818596717000105, -6.152082916496416
((B ((S +) ((S +) I))) (+ ((+ 1) 1))), nan, nan, -6.608496389446915, -6.51174389756005, -6.6220865457421505
(B ((B ((S +) (+ 1))) ((S +) ((S +) I)))), nan, nan, nan, -7.2031412963962085, nan
((S B) I), nan, -4.589947789266209, -4.1973045218575065, -5.122131561045978, -5.296302134114734
(B (((S B) I) (((S B) I) (+ ((+ 1) 1))))), nan, nan, nan, -5.123699754716372, -4.323491572087801
(B (+ ((+ 1) 1))), nan, nan, -5.508617476163612, -5.331339119494617, -4.47764225191506
((S B) (S *)), nan, nan, -5.508617476163612, -5.593703383962108, -6.269401721143114
((S B) (S +)), nan, nan, -5.326295919369658, -6.286850564522053, -6.674866829251279
((B ((S +) (+ 1))) (((S B) I) ((S +) I))), nan, nan, nan, -7.4280346294342054, -7.132912169508141
(B ((S +) ((S *) (+ ((+ 1) 1))))), nan, nan, nan, -7.2031412963962085, -6.96254890170306
(B ((B (+ 1)) (((S B) I) ((S +) ((S +) I))))), nan, nan, nan, -6.797676188288044, -7.368014009811224
(B (((S B) (B (+ 1))) ((S +) (+ 1)))), nan, nan, nan, -6.797676188288044, -6.269401721143114
((B (+ 1)) ((S +) ((S +) I))), nan, nan, -5.355733420951547, -6.175271660938837, -6.2856143091209375
(((S B) I) (+ ((+ 1) 1))), nan, nan, -5.104418992670641, -5.72328653719578, -5.928939365182205
((B ((S +) ((S +) I))) ((S *) (+ ((+ 1) 1)))), nan, nan, nan, -7.4280346294342054, -6.6220865457421505
