((B (+ 1)) (* 0)), nan, nan, nan, -5.866491860415661, -5.742207357379397
((B (+ 1)) (+ 1)), nan, nan, nan, -5.866491860415661, -4.7613781043676715
((B (+ 1)) ((S *) I)), nan, nan, nan, -5.866491860415661, -5.231381733613406
((B (+ 1)) ((S *) ((S +) I))), nan, nan, nan, -5.461026752307497, -5.231381733613406
((B (+ 1)) ((S *) (+ 1))), nan, nan, nan, -5.866491860415661, -5.049060176819452
((B ((S +) (+ 1))) ((S *) (+ 1))), nan, nan, nan, -5.866491860415661, -5.231381733613406
((B ((S +) (+ 1))) ((S +) (+ 1))), nan, nan, nan, -5.866491860415661, -5.454525284927617
((B ((S +) (+ 1))) ((S +) ((S +) I))), nan, nan, nan, -5.866491860415661, -5.742207357379397
((B ((S +) (+ 1))) ((S *) ((S +) I))), nan, nan, nan, -5.866491860415661, -5.454525284927617
((B ((S +) (+ 1))) ((S +) I)), nan, nan, nan, -5.866491860415661, -5.454525284927617
1, -2.7666835020110296, -2.1912338878042807, -1.9846250788310402, -2.153630356453953, -2.1520290309706103
0, -3.475868621549476, -2.6072750284431954, -2.400788039436967, -2.1783686848769177, -2.1767272841177117
+, -3.366572705853124, -2.841399165984285, -3.53273324206893, -4.532859174587346, -4.779802821048587
*, -1.5004549624430643, -2.802963450408819, -3.2006887656461167, -3.5938889132663467, -3.683336058470548
S, -2.9831203012119554, -1.7013823276179982, -2.822895084359567, -2.9262381936801813, -2.9246970274503967
((S +) ((S +) I)), nan, nan, -4.189420658999779, -3.994689683514071, -4.2758702885859705
I, -1.3307992581690398, -3.1532509689587775, -3.4028608706803816, -3.5992512828915135, -3.6371491257077153
C, -3.5411427351011864, -3.8778879074987014, -3.6598872393531736, -3.659887239353174, -3.659887239353173
B, -1.188172402153329, -1.524917574550844, -1.650902695042506, -1.6148451213325326, -1.613391652238652
((S *) ((S +) I)), nan, nan, -3.7839555508916147, -4.161743768177236, -4.538234553053461
((B ((S +) I)) (+ 1)), nan, nan, nan, -5.461026752307497, -5.049060176819452
((B ((S *) (+ 1))) ((S +) (+ 1))), nan, nan, nan, -5.866491860415661, -5.742207357379397
((S *) (+ 1)), nan, nan, -3.7839555508916147, -4.074732391187607, -4.355912996259507
((S +) (+ 1)), nan, nan, -3.966277107685569, -3.8515888398733975, -4.132769444945297
((B ((S *) (+ 1))) ((S +) ((S +) I))), nan, nan, nan, -5.866491860415661, -5.742207357379397
((B ((S +) I)) ((S +) I)), nan, nan, nan, -5.461026752307497, -5.454525284927617
((S +) ((S *) (+ 1))), nan, nan, nan, -5.461026752307497, -5.231381733613406
(* 0), nan, -3.6673114366184114, -4.882567839559725, -5.461026752307497, -5.742207357379397
((S +) ((S +) (+ 1))), nan, nan, nan, -5.866491860415661, -5.231381733613406
(+ 1), nan, -2.7510207047442568, -2.8031262978798885, -3.6692672830794426, -4.0076063019912915
((B ((S +) I)) ((S *) ((S +) I))), nan, nan, nan, -5.866491860415661, -5.742207357379397
((B ((S *) (+ 1))) ((S +) I)), nan, nan, nan, -5.866491860415661, -5.231381733613406
((B ((S +) I)) ((S +) ((S +) I))), nan, nan, nan, -5.866491860415661, -6.147672465487562
((S +) I), nan, -3.2618463285102473, -3.177819747321299, -3.8515888398733975, -4.132769444945297
((S *) ((S +) ((S +) I))), nan, nan, nan, -5.461026752307497, -5.231381733613406
((S *) I), nan, nan, -4.477102731451559, -4.950201128541506, -5.231381733613406
((B ((S +) I)) ((S +) (+ 1))), nan, nan, nan, -5.461026752307497, -5.454525284927617
((B ((S *) (+ 1))) (+ 1)), nan, nan, nan, -5.866491860415661, -5.049060176819452
(S +), nan, -2.8200135762312084, -2.9556335919634167, -2.753577332238678, -3.0991896265480423
(S *), nan, -3.107695648682989, -3.2069480202443232, -4.139871693358568, -4.3984726106783025
((B ((S +) I)) ((S *) (+ 1))), nan, nan, nan, -5.461026752307497, -5.454525284927617
(B ((S *) ((S +) I))), nan, nan, -4.45971098873969, -4.427553765810349, -4.649787038959208
(B ((S +) ((S +) I))), nan, nan, nan, -4.609875322604303, -3.956639858399264
((B ((S *) ((S +) I))) (+ 1)), nan, nan, nan, -5.866491860415661, -5.231381733613406
((B ((S *) ((S +) I))) ((S +) I)), nan, nan, nan, -5.866491860415661, -6.147672465487562
(B ((S +) (+ 1))), nan, nan, -4.45971098873969, -3.8214179622400333, -3.2284013580280484
(B ((S *) (+ 1))), nan, nan, -4.45971098873969, -4.139871693358568, -4.197801915216151
(B (+ 1)), nan, nan, -3.5434202568655357, -3.8214179622400333, -3.5999649144605317
(B ((S *) I)), nan, nan, nan, -5.1207009463702935, -5.209402826894631
(B ((S +) I)), nan, nan, -3.3610987000715813, -3.0838190191092543, -3.1617099835293763
((B ((S *) ((S +) I))) ((S +) (+ 1))), nan, nan, nan, -5.866491860415661, -5.742207357379397
