(B ((S nand) I)), nan, nan, -2.4427334341375357, -2.4427334341375357, -2.4427334341375357
((S nand) I), nan, -2.3801246704494634, -2.155051361685755, -2.155051361685755, -2.155051361685755
(B (B ((S nand) I))), nan, nan, -2.8481985422457, -2.8481985422457, -2.8481985422457
S, -2.0794415416798357, -1.647155995702847, -2.717901541297842, -2.717901541297842, -2.717901541297842
I, -2.0794415416798357, -2.922698992530034, -3.5979160742940395, -3.5979160742940395, -3.5979160742940395
C, -2.0794415416798357, -2.5877640352277083, -2.517696472610991, -2.517696472610991, -2.517696472610991
B, -2.0794415416798357, -2.5877640352277083, -2.087782197150651, -2.087782197150651, -2.087782197150651
((B (B ((S nand) I))) nand), nan, nan, -3.359024166011691, -3.359024166011691, -3.359024166011691
(S nand), nan, -1.6869774898895185, -2.4427334341375357, -2.4427334341375357, -2.4427334341375357
snd, -2.0794415416798357, -2.5877640352277083, -2.517696472610991, -2.517696472610991, -2.517696472610991
nand, -2.0794415416798357, -2.3020068911855116, -2.5561510122842797, -2.5561510122842797, -2.5561510122842797
fst, -2.0794415416798357, -2.5877640352277083, -2.517696472610991, -2.517696472610991, -2.517696472610991
pair, -2.0794415416798357, -2.5877640352277083, -2.517696472610991, -2.517696472610991, -2.517696472610991
