1, -2.0794415416798357, -2.264617761938561
0, -2.0794415416798357, -2.264617761938561
+, -2.0794415416798357, -2.5757792356785174
*, -2.0794415416798357, -2.921101287240112
S, -2.0794415416798357, -1.6179465203318293
I, -2.0794415416798357, -3.5641476113947554
C, -2.0794415416798357, -2.360854001118022
B, -2.0794415416798357, -2.360854001118022
(* 0), nan, -3.538490379296781
(+ 1), nan, -2.622199647422626
((S +) I), nan, -3.1330252711886164
(S +), nan, -2.8453431987368356
(S *), nan, -3.1330252711886164
