((BS nand) nand), nan, -3.877889331323422, -3.6495754041549064
(nand True), nan, -2.086129862095367, -2.1832383353614793
False, -2.772588722239781, -3.280911215787653, -3.34638914516716
(BB (nand True)), nan, -3.338892830590735, -2.8763855159214247
S, -2.772588722239781, -3.238170458355954, -3.34638914516716
I, -2.772588722239781, -3.280911215787653, -3.34638914516716
C, -2.772588722239781, -3.7782802134009725, -3.34638914516716
B, -2.772588722239781, -3.280911215787653, -3.34638914516716
True, -2.772588722239781, -2.056302149749294, -2.1524666766947256
nand, -2.772588722239781, -2.4471805351329916, -2.6192122160209035
SB, -2.772588722239781, -3.280911215787653, -3.34638914516716
SC, -2.772588722239781, -3.280911215787653, -3.34638914516716
SS, -2.772588722239781, -3.280911215787653, -3.34638914516716
CS, -2.772588722239781, -3.280911215787653, -3.34638914516716
CB, -2.772588722239781, -3.280911215787653, -3.34638914516716
CC, -2.772588722239781, -3.280911215787653, -3.34638914516716
BC, -2.772588722239781, -3.280911215787653, -3.34638914516716
BB, -2.772588722239781, -3.097802319373465, -2.8157608941049896
BS, -2.772588722239781, -2.7204856019205383, -2.8157608941049896
(BS nand), nan, -3.338892830590735, -2.8763855159214247
((BB (nand True)) nand), nan, -3.877889331323422, -4.055040512263071
