(B ((S nand) I)), nan, nan, -2.7703699508960273, -2.5251262133176477, -2.5251262133176477
((S nand) I), nan, -2.423879724677298, -1.9594397346796983, -2.2374441408658665, -2.2374441408658665
(B (B ((S nand) I))), nan, nan, -2.7703699508960273, -2.930591321425812, -2.930591321425812
S, -3.1355920084705327, -1.7167023758444389, -3.1991889002920804, -2.883325114454265, -2.883325114454265
I, -2.195641870855932, -2.9819076900849133, -3.7863899047985212, -3.713153539179884, -3.713153539179884
C, -1.2670536342360799, -1.8191311820117866, -1.5697432139488599, -1.7877013443473468, -1.7877013443473468
B, -2.8182332891321185, -3.370310836907825, -2.319020575206437, -2.2047453087748443, -2.2047453087748443
((B (B ((S nand) I))) nand), nan, nan, -3.617667811283231, -3.441416945191803, -3.441416945191803
(S nand), nan, -1.7307325441173527, -2.077222770336082, -2.5251262133176477, -2.5251262133176477
nand, -1.9832645151968094, -2.3382044408528206, -2.4001611468346367, -2.62810727276201, -2.62810727276201
BC, -1.0044445133725324, -1.556522061148239, -2.1118185852590714, -1.5250922234837994, -1.5250922234837994
